#number of clusters,dimension of points,number of points,optimal value
2,2,5,0.005350
2,2,6,0.013800
2,2,7,0.024275
2,2,8,0.026693
2,2,9,0.029217
2,2,10,0.032876
2,2,11,0.034021
2,2,12,0.043900
2,2,13,0.058288
2,2,14,0.063571
2,2,15,0.068002
2,2,16,0.071675
2,2,17,0.076132
2,2,18,0.080017
2,2,19,0.089078
2,2,20,0.092905
2,2,21,0.102469
2,2,22,0.104485
2,2,23,0.109499
2,2,24,0.110018
2,2,25,0.110922
2,2,26,0.111848
2,2,27,0.112953
2,2,28,0.117650
2,2,29,0.151120
2,2,30,0.160344
2,2,31,0.176809
2,2,32,0.189292
2,2,33,0.191382
2,2,34,0.200607
2,2,35,0.212601
2,2,36,0.249367
2,2,37,0.277223
2,2,38,0.280064
2,2,39,0.280728
2,2,40,0.283482
2,2,41,0.287880
2,2,42,0.291250
2,2,43,0.293927
2,2,44,0.325769
2,2,45,0.355611
2,2,46,0.489677
2,2,47,0.528734
2,2,48,0.675178
2,2,49,0.724297
2,2,50,0.732818
2,2,51,0.735791
2,2,52,0.742360
2,2,53,0.744693
2,2,54,0.750554
2,2,55,0.756112
2,2,56,0.802945
2,2,57,0.843064
2,2,58,0.853053
2,2,59,0.862328
2,2,60,0.903189
2,2,61,0.943624
2,2,62,1.005647
2,2,63,1.048649
2,2,64,1.100881
2,2,65,1.130928
2,2,66,1.176061
2,2,67,1.202765
2,2,68,1.225748
2,2,69,1.246345
2,2,70,1.258340
2,2,71,1.297194
2,2,72,1.325393
2,2,73,1.346753
2,2,74,1.364107
2,2,75,1.397091
2,2,76,1.413790
2,2,77,1.444378
2,2,78,1.454965
2,2,79,1.478275
2,2,80,1.489762
2,2,81,1.511987
2,2,82,1.527770
2,2,83,1.543869
2,2,84,1.560876
2,2,85,1.569167
2,2,86,1.587709
2,2,87,1.593123
2,2,88,1.609664
2,2,89,1.635384
2,2,90,1.644945
2,2,91,1.649468
2,2,92,1.658905
2,2,93,1.662658
2,2,94,1.670389
2,2,95,1.688294
2,2,96,1.699809
2,2,97,1.702515
2,2,98,1.714457
2,2,99,1.719858
2,2,100,1.730647
2,2,101,1.745197
2,2,102,1.757368
2,2,103,1.762512
2,2,104,1.770374
2,2,105,1.784613
2,2,106,1.818108
2,2,107,1.836894
2,2,108,1.854059
2,2,109,1.863434
2,2,110,1.892738
2,2,111,1.935762
2,2,112,1.955963
2,2,113,1.966671
2,2,114,1.989810
2,2,115,2.005837
2,2,116,2.069589
2,2,117,2.159069
2,2,118,2.197679
2,2,119,2.209458
2,2,120,2.226606
2,2,121,2.234235
2,2,122,2.242406
2,2,123,2.311018
2,2,124,2.350101
2,2,125,2.444637
2,2,126,2.527371
2,2,127,2.573098
2,2,128,2.611688
2,2,129,2.653735
2,2,130,2.703812
2,2,131,2.756766
2,2,132,2.826722
2,2,133,2.870832
2,2,134,2.912039
2,2,135,2.975166
2,2,136,3.004377
2,2,137,3.038309
2,2,138,3.087960
2,2,139,3.104161
2,2,140,3.114565
2,2,141,3.131295
2,2,142,3.193399
2,2,143,3.253626
2,2,144,3.266382
2,2,145,3.283338
2,2,146,3.304450
2,2,147,3.343014
2,2,148,3.387030
2,2,149,3.430468
2,2,150,3.489549
2,2,151,3.532918
2,2,152,3.587524
2,2,153,3.605332
2,2,154,3.621201
2,2,155,3.679973
2,2,156,3.755410
2,2,157,3.771256
2,2,158,3.798343
2,2,159,3.831335
2,2,160,3.859392
2,2,161,3.886711
2,2,162,3.945221
2,2,163,3.982666
2,2,164,4.027844
2,2,165,4.063909
2,2,166,4.112199
2,2,167,4.185694
2,2,168,4.218114
2,2,169,4.261831
2,2,170,4.315381
2,2,171,4.372088
2,2,172,4.423423
2,2,173,4.442080
2,2,174,4.486495
2,2,175,4.552542
2,2,176,4.575350
2,2,177,4.594160
2,2,178,4.647430
2,2,179,4.734376
2,2,180,4.766299
2,2,181,4.779663
2,2,182,4.893460
2,2,183,4.924338
2,2,184,4.946525
2,2,185,4.955058
2,2,186,4.968308
2,2,187,5.082961
2,2,188,5.176185
2,2,189,5.337105
2,2,190,5.535635
2,2,191,5.784166
2,2,192,5.876201
2,2,193,6.017720
2,2,194,6.111688
2,2,195,6.311640
2,2,196,6.539890
2,2,197,6.648071
2,2,198,6.804725
2,2,199,7.046072
2,2,200,7.106207
2,2,201,7.425057
2,2,202,7.637547
2,2,203,7.866384
2,2,204,8.193717
2,2,205,8.377643
2,2,206,8.533521
2,2,207,8.603145
2,2,208,8.639010
2,2,209,8.712370
2,2,210,8.741325
2,2,211,8.801314
2,2,212,8.872635
2,2,213,9.053341
2,2,214,9.249933
2,2,215,9.359174
2,2,216,9.414553
2,2,217,9.589643
2,2,218,9.769922
2,2,219,9.830494
2,2,220,10.108622
2,2,221,10.561490
2,2,222,10.727891
2,2,223,10.793259
2,2,224,10.836791
2,2,225,11.082660
2,2,226,11.180394
2,2,227,11.231511
2,2,228,11.278807
2,2,229,11.368909
2,2,230,11.439897
2,2,231,11.495162
2,2,232,11.531167
2,2,233,11.679845
2,2,234,11.818423
2,2,235,11.921482
2,2,236,12.028218
2,2,237,12.401478
2,2,238,12.498066
2,2,239,12.572200
2,2,240,12.896036
2,2,241,13.050003
2,2,242,13.163753
2,2,243,13.196192
2,2,244,13.233333
2,2,245,13.307869
2,2,246,13.459648
2,2,247,13.518721
2,2,248,13.543422
2,2,249,13.682060
2,3,5,0.006900
2,3,6,0.024360
2,3,7,0.026110
2,3,8,0.039227
2,3,9,0.047935
2,3,10,0.082440
2,3,11,0.112527
2,3,12,0.122589
2,3,13,0.128348
2,3,14,0.184027
2,3,15,0.245970
2,3,16,0.302996
2,3,17,0.337277
2,3,18,0.367667
2,3,19,0.417317
2,3,20,0.479404
2,3,21,0.504850
2,3,22,0.570656
2,3,23,0.615738
2,3,24,0.656036
2,3,25,0.694827
2,3,26,0.738263
2,3,27,0.764510
2,3,28,0.777373
2,3,29,0.808084
2,3,30,0.861438
2,3,31,0.884337
2,3,32,0.915417
2,3,33,0.922960
2,3,34,0.974789
2,3,35,1.049426
2,3,36,1.080207
2,3,37,1.121315
2,3,38,1.167117
2,3,39,1.186851
2,3,40,1.237355
2,3,41,1.273385
2,3,42,1.371030
2,3,43,1.456840
2,3,44,1.473924
2,3,45,1.489598
2,3,46,1.532782
2,3,47,1.564046
2,3,48,1.620926
2,3,49,1.634174
2,3,50,1.749182
2,3,51,1.830072
2,3,52,2.028383
2,3,53,2.106559
2,3,54,2.334791
2,3,55,2.525715
2,3,56,2.613302
2,3,57,2.671936
2,3,58,2.789143
2,3,59,2.855797
2,3,60,2.949760
2,3,61,3.065892
2,3,62,3.290469
2,3,63,3.520595
2,3,64,3.647161
2,3,65,3.723564
2,3,66,3.829437
2,3,67,3.906243
2,3,68,3.995842
2,3,69,4.068718
2,3,70,4.174589
2,3,71,4.241913
2,3,72,4.324776
2,3,73,4.362404
2,3,74,4.449005
2,3,75,4.514866
2,3,76,4.580505
2,3,77,4.679467
2,3,78,4.753470
2,3,79,4.815617
2,3,80,4.891098
2,3,81,4.972599
2,3,82,4.992998
2,3,83,5.020248
2,3,84,5.034571
2,3,85,5.096840
2,3,86,5.109364
2,3,87,5.155052
2,3,88,5.171774
2,3,89,5.210439
2,3,90,5.249190
2,3,91,5.260431
2,3,92,5.300536
2,3,93,5.317571
2,3,94,5.349554
2,3,95,5.424938
2,3,96,5.469031
2,3,97,5.490428
2,3,98,5.500640
2,3,99,5.515864
2,3,100,5.545669
2,3,101,5.556571
2,3,102,5.575804
2,3,103,5.593341
2,3,104,5.615842
2,3,105,5.631068
2,3,106,5.655733
2,3,107,5.667486
2,3,108,5.686680
2,3,109,5.727318
2,3,110,5.758528
2,3,111,5.789090
2,3,112,5.837811
2,3,113,5.857159
2,3,114,5.995861
2,3,115,6.098638
2,3,116,6.229379
2,3,117,6.325301
2,3,118,6.487767
2,3,119,6.751024
2,3,120,6.896328
2,3,121,7.031294
2,3,122,7.220518
2,3,123,7.322289
2,3,124,7.639202
2,3,125,8.011003
2,3,126,8.234769
2,3,127,8.450635
2,3,128,8.636687
2,3,129,8.770458
2,3,130,8.832526
2,3,131,8.990225
2,3,132,9.046128
2,3,133,9.181486
2,3,134,9.287370
2,3,135,9.372609
2,3,136,9.426211
2,3,137,9.503873
2,3,138,9.573020
2,3,139,9.713945
2,3,140,9.875823
2,3,141,9.991069
2,3,142,10.092822
2,3,143,10.257114
2,3,144,10.360486
2,3,145,10.458365
2,3,146,10.540119
2,3,147,10.566175
2,3,148,10.579572
2,3,149,10.614485
2,3,150,10.685082
2,3,151,10.770611
2,3,152,10.786799
2,3,153,10.816289
2,3,154,10.859439
2,3,155,10.925294
2,3,156,10.981791
2,3,157,11.030280
2,3,158,11.106642
2,3,159,11.166787
2,3,160,11.235286
2,3,161,11.271028
